Kelime;Türkçe Anlamı;V1 (Yalın Hali);V2 (Geçmiş Zaman);V3 (Sıfat Fiil)
model;model;model;modelled;modelled
modern;modern;-;-;-
modify;değiştirmek;modify;modified;modified
moment;an;-;-;-
Monday;Pazartesi;-;-;-
money;para;-;-;-
monitor;monitör, izlemek;monitor;monitored;monitored
monkey;maymun;-;-;-
month;ay;-;-;-
mood;ruh hali;-;-;-
moon;ay (gökyüzü);-;-;-
moral;ahlaki;-;-;-
more;daha fazla;-;-;-
morning;sabah;-;-;-
most;en fazla, çoğu;-;-;-
mostly;çoğunlukla;-;-;-
mother;anne;-;-;-
motor;motor;-;-;-
motorcycle;motosiklet;-;-;-
mount;dağ, monte etmek;mount;mounted;mounted
mountain;dağ;-;-;-
mouse;fare;-;-;-
mouth;ağız;-;-;-
move;hareket etmek, taşınmak;move;moved;moved
movement;hareket;-;-;-
movie;film;-;-;-
much;çok (miktar);-;-;-
mud;çamur;-;-;-
multiple;çoklu;-;-;-
multiply;çarpmak;multiply;multiplied;multiplied
mum;anne;-;-;-
murder;cinayet, öldürmek;murder;murdered;murdered
muscle;kas;-;-;-
museum;müze;-;-;-
music;müzik;-;-;-
musical;müzikal;-;-;-
musician;müzisyen;-;-;-
must;-meli, zorunda;-;-;-
my;benim;-;-;-
myself;kendim;-;-;-
mysterious;gizemli;-;-;-
mystery;gizem;-;-;-
nail;tırnak, çivi;-;-;-
name;isim, adlandırmak;name;named;named
narrative;anlatı;-;-;-
narrow;dar;narrow;narrowed;narrowed
nation;ulus;-;-;-
national;ulusal;-;-;-
native;yerli, ana (dil);-;-;-
natural;doğal;-;-;-
naturally;doğal olarak;-;-;-
nature;doğa;-;-;-
near;yakın;-;-;-
nearly;neredeyse;-;-;-
neat;düzenli;-;-;-
necessarily;zorunlu olarak;-;-;-
necessary;gerekli;-;-;-
neck;boyun;-;-;-
need;ihtiyaç, ihtiyaç duymak;need;needed;needed
needle;iğne;-;-;-
negative;olumsuz;-;-;-
neighbour;komşu;-;-;-
neighbourhood;mahalle;-;-;-
neither;hiçbiri;-;-;-
nerve;sinir;-;-;-
nervous;gergin;-;-;-
net;ağ, net (kazanç);-;-;-
network;ağ (bağlantı);-;-;-
never;asla;-;-;-
nevertheless;yine de;-;-;-
new;yeni;-;-;-
news;haber;-;-;-
newspaper;gazete;-;-;-
next;sonraki;-;-;-
next to;yanında;-;-;-
nice;güzel, hoş;-;-;-
night;gece;-;-;-
nightmare;kabus;-;-;-
nine;dokuz;-;-;-
nineteen;on dokuz;-;-;-
ninety;doksan;-;-;-
no;hayır;-;-;-
no one;hiç kimse;-;-;-
nobody;hiç kimse;-;-;-
noise;gürültü;-;-;-
noisy;gürültülü;-;-;-
none;hiçbiri;-;-;-
nor;ne de;-;-;-
normal;normal;-;-;-
normally;normalde;-;-;-
north;kuzey;-;-;-
northern;kuzey (sıfat);-;-;-
nose;burun;-;-;-
not;değil;-;-;-
note;not, not almak;note;noted;noted
nothing;hiçbir şey;-;-;-
notice;fark etmek, uyarı;notice;noticed;noticed
notion;kavram, fikir;-;-;-
novel;roman;-;-;-
November;Kasım;-;-;-
now;şimdi;-;-;-
nowhere;hiçbir yer;-;-;-
nuclear;nükleer;-;-;-
number;sayı, numaralandırmak;number;numbered;numbered
numerous;çok sayıda;-;-;-
nurse;hemşire;-;-;-
nut;kuruyemiş, somun;-;-;-
obey;itaat etmek;obey;obeyed;obeyed
object;nesne, itiraz etmek;object;objected;objected
objective;hedef, amaç;-;-;-
obligation;yükümlülük;-;-;-
observation;gözlem;-;-;-
observe;gözlemlemek;observe;observed;observed
obtain;elde etmek;obtain;obtained;obtained
obvious;açık, bariz;-;-;-
obviously;açıkça;-;-;-
occasion;özel gün, olay;-;-;-
occasionally;ara sıra;-;-;-
occur;meydana gelmek;occur;occurred;occurred
ocean;okyanus;-;-;-
o'clock;saat (tam);-;-;-
October;Ekim;-;-;-
odd;garip, tuhaf;-;-;-
of;-in, -nin (aitlik);-;-;-
off;kapalı, uzakta;-;-;-
offence;suç, gücenme;-;-;-
offend;gücendirmek;offend;offended;offended
offensive;saldırgan, rahatsız edici;-;-;-
offer;teklif etmek;offer;offered;offered
office;ofis;-;-;-
officer;memur, subay;-;-;-
official;resmi, yetkili;-;-;-
often;sık sık;-;-;-
oh;ah, ay;-;-;-
oil;yağ, petrol;-;-;-
OK;tamam;-;-;-
old;yaşlı, eski;-;-;-
old-fashioned;eski moda;-;-;-
on;üzerinde;-;-;-
once;bir kez;-;-;-
one;bir (sayı);-;-;-
onion;soğan;-;-;-
online;çevrimiçi;-;-;-
only;sadece;-;-;-
onto;üzerine;-;-;-
open;açık, açmak;open;opened;opened
opening;açılış;-;-;-
operate;çalıştırmak, ameliyat etmek;operate;operated;operated
operation;operasyon, ameliyat;-;-;-
opinion;görüş, fikir;-;-;-
opponent;rakip;-;-;-
opportunity;fırsat;-;-;-
oppose;karşı çıkmak;oppose;opposed;opposed
opposed;karşıt;-;-;-
opposite;karşı, zıt;-;-;-
opposition;muhalefet;-;-;-
option;seçenek;-;-;-
or;veya;-;-;-
orange;portakal, turuncu;-;-;-
order;sipariş, emir, sıralamak;order;ordered;ordered
ordinary;sıradan;-;-;-
organ;organ;-;-;-
organization;organizasyon;-;-;-
organize;düzenlemek, organize etmek;organize;organized;organized
organized;düzenli, organize;-;-;-
organizer;organizatör;-;-;-
origin;köken;-;-;-
original;orijinal;-;-;-
originally;başlangıçta;-;-;-
other;diğer;-;-;-
otherwise;aksi takdirde;-;-;-
ought;-meli (görev);-;-;-
our;bizim;-;-;-
ours;bizimki;-;-;-
ourselves;kendimiz;-;-;-
out;dışarı;-;-;-
outcome;sonuç;-;-;-
outdoor;açık hava (sıfat);-;-;-
outdoors;açık havada;-;-;-
outer;dış;-;-;-
outline;taslak, ana hatlarıyla belirtmek;outline;outlined;outlined
outside;dışarıda, dış;-;-;-
oven;fırın;-;-;-
over;üzerinde, bitmiş;-;-;-
overall;genel olarak;-;-;-
owe;borçlu olmak;owe;owed;owed
own;sahip olmak, kendi;own;owned;owned
owner;sahip;-;-;-
pace;hız, tempo;pace;paced;paced
pack;paket, paketlemek;pack;packed;packed
package;paket;package;packaged;packaged
page;sayfa;-;-;-
pain;ağrı;-;-;-
painful;acı verici;-;-;-
paint;boya, boyamak;paint;painted;painted
painter;ressam;-;-;-
painting;resim, tablo;-;-;-
pair;çift;-;-;-
palace;saray;-;-;-
pale;solgun;-;-;-
pan;tava;-;-;-
panel;panel;-;-;-
pants;pantolon;-;-;-
paper;kağıt;-;-;-
paragraph;paragraf;-;-;-
parent;ebeveyn;-;-;-
park;park, park etmek;park;parked;parked
parking;park etme;-;-;-
parliament;parlamento;-;-;-
part;parça, bölüm;-;-;-
participant;katılımcı;-;-;-
participate;katılmak;participate;participated;participated
particular;belirli, özel;-;-;-
particularly;özellikle;-;-;-
partly;kısmen;-;-;-
partner;ortak, eş;-;-;-
party;parti;-;-;-
pass;geçmek;pass;passed;passed
passage;geçit, pasaj;-;-;-
passenger;yolcu;-;-;-
passion;tutku;-;-;-
passport;pasaport;-;-;-
past;geçmiş;-;-;-
path;yol, patika;-;-;-
patient;hasta, sabırlı;-;-;-
pattern;desen, model;-;-;-
pay;ödemek;pay;paid;paid
payment;ödeme;-;-;-
peace;barış;-;-;-
peaceful;barışçıl;-;-;-
pen;kalem;-;-;-
pencil;kurşun kalem;-;-;-
penny;peni;-;-;-
pension1;emekli maaşı;-;-;-
people;insanlar;-;-;-
pepper;biber;-;-;-
per;başına;-;-;-
per cent;yüzde;-;-;-
percentage;yüzde oranı;-;-;-
perfect;mükemmel;perfect;perfected;perfected
perfectly;mükemmel bir şekilde;-;-;-
perform;gerçekleştirmek, performans sergilemek;perform;performed;performed
performance;performans;-;-;-
perhaps;belki;-;-;-
period;dönem;-;-;-
permanent;kalıcı;-;-;-
permission;izin;-;-;-
permit;izin vermek, izin belgesi;permit;permitted;permitted
person;kişi;-;-;-
personal;kişisel;-;-;-
personality;kişilik;-;-;-
personally;kişisel olarak;-;-;-
perspective;bakış açısı;-;-;-
persuade;ikna etmek;persuade;persuaded;persuaded
pet;evcil hayvan;-;-;-
petrol;benzin;-;-;-
phase;aşama;-;-;-
phenomenon;olgu;-;-;-
philosophy;felsefe;-;-;-
phone;telefon, telefon etmek;phone;phoned;phoned
photo;fotoğraf;-;-;-
photograph;fotoğraf, fotoğraflamak;photograph;photographed;photographed
photographer;fotoğrafçı;-;-;-
photography;fotoğrafçılık;-;-;-
phrase;deyim, ifade;-;-;-
physical;fiziksel;-;-;-
physics;fizik;-;-;-
piano;piyano;-;-;-
pick;seçmek, toplamak;pick;picked;picked
picture;resim, fotoğraf;picture;pictured;pictured
piece;parça;-;-;-
pig;domuz;-;-;-
pile;yığın, yığmak;pile;piled;piled
pilot;pilot;-;-;-
pin;toplu iğne, iğnelemek;pin;pinned;pinned
pink;pembe;-;-;-
pipe;boru;-;-;-
pitch;saha, ton;-;-;-
place;yer, yerleştirmek;place;placed;placed
plain;sade, düz;-;-;-
plan;plan, planlamak;plan;planned;planned
plane;uçak;-;-;-
planet;gezegen;-;-;-
planning;planlama;-;-;-
plant;bitki, ekmek (dikmek);plant;planted;planted
plastic;plastik;-;-;-
plate;tabak;-;-;-
platform;platform, peron;-;-;-
play;oynamak;play;played;played
player;oyuncu;-;-;-
pleasant;hoş;-;-;-
please;lütfen, memnun etmek;please;pleased;pleased
pleased;memnun;-;-;-
pleasure;zevk, memnuniyet;-;-;-
plenty;bolluk, bol miktarda;-;-;-
plot;olay örgüsü, komplo kurmak;plot;plotted;plotted
plus1;artı;-;-;-
pocket;cep;-;-;-
poem;şiir;-;-;-
poet;şair;-;-;-
poetry;şiir sanatı;-;-;-
point;nokta, işaret etmek;point;pointed;pointed
pointed;sivri;-;-;-
poison;zehir, zehirlemek;poison;poisoned;poisoned
poisonous;zehirli;-;-;-
police;polis;-;-;-
policeman;polis memuru;-;-;-
policy;politika;-;-;-
polite;kibar;-;-;-
political;siyasi;-;-;-
politician;politikacı;-;-;-
politics;siyaset;-;-;-
pollution;kirlilik;-;-;-
pool;havuz;-;-;-
poor;fakir, zavallı;-;-;-
pop;pop müzik;-;-;-
popular;popüler;-;-;-
popularity;popülerlik;-;-;-
population;nüfus;-;-;-
port;liman;-;-;-
portrait;portre;-;-;-
pose;poz vermek, oluşturmak (sorun);pose;posed;posed
position;konum, pozisyon;position;positioned;positioned
positive;olumlu;-;-;-
possess;sahip olmak;possess;possessed;possessed
possession;sahiplik, mal;-;-;-
possibility;olasılık;-;-;-
possible;mümkün;-;-;-
possibly;belki, mümkün olduğunca;-;-;-
post;posta, göndermek;post;posted;posted
poster;poster;-;-;-
pot;tencere, saksı;-;-;-
potato;patates;-;-;-
potential;potansiyel;-;-;-
pound;pound (para/ağırlık);-;-;-
pour;dökmek;pour;poured;poured
poverty;yoksulluk;-;-;-
powder;toz;-;-;-
power;güç, iktidar;power;powered;powered
powerful;güçlü;-;-;-
practical;pratik;-;-;-
practice;pratik, uygulama;-;-;-
practise;pratik yapmak;practise;practised;practised
praise;övmek, övgü;praise;praised;praised
pray;dua etmek;pray;prayed;prayed
prayer;dua;-;-;-
predict;tahmin etmek;predict;predicted;predicted
prediction;tahmin;-;-;-
prefer;tercih etmek;prefer;preferred;preferred
pregnant;hamile;-;-;-
preparation;hazırlık;-;-;-
prepare;hazırlamak;prepare;prepared;prepared
prepared;hazır;-;-;-
presence;varlık, huzur;-;-;-
present;hediye, mevcut, sunmak;present;presented;presented
presentation;sunum;-;-;-
preserve;korumak;preserve;preserved;preserved
president;başkan;-;-;-
press;basın, basmak;press;pressed;pressed
pressure;baskı;-;-;-
pretend;numara yapmak;pretend;pretended;pretended
pretty;güzel, oldukça;-;-;-
prevent;önlemek;prevent;prevented;prevented
previous;önceki;-;-;-
previously;önceden;-;-;-
price;fiyat, fiyatlandırmak;price;priced;priced
priest;rahip;-;-;-
primary;birincil, ilköğretim;-;-;-
prime;başlıca, birinci;-;-;-
prince;prens;-;-;-
princess;prenses;-;-;-
principle;ilke;-;-;-
print;yazdırmak, baskı;print;printed;printed
printer;yazıcı;-;-;-
printing;baskı, matbaacılık;-;-;-
priority;öncelik;-;-;-
prison;hapishane;-;-;-
prisoner;mahkum;-;-;-
privacy;mahremiyet;-;-;-
private;özel;-;-;-
prize;ödül;-;-;-
probably;muhtemelen;-;-;-
problem;sorun;-;-;-
procedure;prosedür, işlem;-;-;-
process;süreç, işlemek;process;processed;processed
produce;üretmek;produce;produced;produced
producer;yapımcı;-;-;-
product;ürün;-;-;-
production;üretim;-;-;-
profession;meslek;-;-;-
professional;profesyonel;-;-;-
professor;profesör;-;-;-
profile;profil;-;-;-
profit;kar;-;-;-
program;program, programlamak;program;programmed;programmed
programme;program (TV/plan);-;-;-
progress;ilerleme, ilerlemek;progress;progressed;progressed
project;proje, projelendirmek;project;projected;projected
promise;söz vermek, söz;promise;promised;promised
promote;terfi ettirmek, tanıtmak;promote;promoted;promoted
pronounce;telaffuz etmek;pronounce;pronounced;pronounced
proof;kanıt;-;-;-
proper;uygun, düzgün;-;-;-
properly;düzgün bir şekilde;-;-;-
property;mülk, özellik;-;-;-
proposal;teklif;-;-;-
propose;teklif etmek;propose;proposed;proposed
prospect;olasılık, gelecek beklentisi;-;-;-
protect;korumak;protect;protected;protected
protection;koruma;-;-;-
protest;protesto, protesto etmek;protest;protested;protested
proud;gururlu;-;-;-
prove;kanıtlamak;prove;proved;proved/proven
provide;sağlamak;provide;provided;provided
psychologist;psikolog;-;-;-
psychology;psikoloji;-;-;-
pub;pub, bar;-;-;-
public;halk, kamu;-;-;-
publication;yayın;-;-;-
publish;yayınlamak;publish;published;published
pull;çekmek;pull;pulled;pulled
punish;cezalandırmak;punish;punished;punished
punishment;ceza;-;-;-
pupil;öğrenci;-;-;-
purchase;satın almak, satın alma;purchase;purchased;purchased
pure;saf;-;-;-
purple;mor;-;-;-
purpose;amaç;-;-;-
pursue;sürdürmek, peşinden gitmek;pursue;pursued;pursued
push;itmek;push;pushed;pushed
put;koymak;put;put;put
qualification;nitelik, yeterlilik;-;-;-
qualified;nitelikli;-;-;-
qualify;hak kazanmak, nitelemek;qualify;qualified;qualified
quality;kalite;-;-;-
quantity;miktar;-;-;-
quarter;çeyrek;-;-;-
queen;kraliçe;-;-;-
question;soru, sorgulamak;question;questioned;questioned
queue;sıra, sıraya girmek;queue;queued;queued
quick;hızlı;-;-;-
quickly;hızlıca;-;-;-
quiet;sessiz;-;-;-
quietly;sessizce;-;-;-
quit;bırakmak, terk etmek;quit;quit;quit
quite;oldukça;-;-;-
quotation;alıntı;-;-;-
quote;alıntı yapmak;quote;quoted;quoted
race (competition);yarış, yarışmak;race;raced;raced
race (people);ırk;-;-;-
racing;yarış (spor);-;-;-
radio;radyo;-;-;-
railway;demiryolu;-;-;-
rain;yağmur, yağmak;rain;rained;rained
raise;kaldırmak, artırmak;raise;raised;raised
range;aralık, çeşit;range;ranged;ranged
rank;rütbe, sıralamak;rank;ranked;ranked
rapid;hızlı;-;-;-
rapidly;hızlı bir şekilde;-;-;-
rare;nadir;-;-;-
rarely;nadiren;-;-;-
rate;oran, değerlendirmek;rate;rated;rated
rather;oldukça, tercihen;-;-;-
raw;çiğ, ham;-;-;-
reach;ulaşmak;reach;reached;reached
react;tepki vermek;react;reacted;reacted
reaction;tepki;-;-;-
read;okumak;read;read;read
reader;okuyucu;-;-;-
reading;okuma;-;-;-
ready;hazır;-;-;-
real;gerçek;-;-;-
realistic;gerçekçi;-;-;-
reality;gerçeklik;-;-;-
realize;fark etmek, gerçekleştirmek;realize;realized;realized
really;gerçekten;-;-;-
reason;neden, sebep;-;-;-
reasonable;makul;-;-;-
recall;hatırlamak;recall;recalled;recalled
receipt;fiş, makbuz;-;-;-
receive;almak (teslim);receive;received;received
recent;son, yakın zamanlı;-;-;-
recently;son zamanlarda;-;-;-
reception;resepsiyon;-;-;-
recipe;tarif (yemek);-;-;-
recognize;tanımak;recognize;recognized;recognized
recommend;önermek;recommend;recommended;recommended
recommendation;tavsiye;-;-;-
record;kayıt, kaydetmek;record;recorded;recorded
recording;kayıt (ses/görüntü);-;-;-
recover;iyileşmek, geri almak;recover;recovered;recovered
recycle;geri dönüştürmek;recycle;recycled;recycled
red;kırmızı;-;-;-
reduce;azaltmak;reduce;reduced;reduced
reduction;azalma;-;-;-
refer;atıfta bulunmak, başvurmak;refer;referred;referred
reference;referans;-;-;-
reflect;yansıtmak;reflect;reflected;reflected
refuse1;reddetmek;refuse;refused;refused
regard;kabul etmek, saygı;regard;regarded;regarded
region;bölge;-;-;-
regional;bölgesel;-;-;-
register;kayıt olmak, kayıt;register;registered;registered
regret;pişman olmak;regret;regretted;regretted
regular;düzenli;-;-;-
regularly;düzenli olarak;-;-;-
regulation;düzenleme, yönetmelik;-;-;-
reject;reddetmek;reject;rejected;rejected
relate;ilişkilendirmek;relate;related;related
related;ilişkili;-;-;-
relation;ilişki;-;-;-
relationship;ilişki;-;-;-
relative;akraba, göreceli;-;-;-
relatively;nispeten;-;-;-
relax;rahatlamak;relax;relaxed;relaxed
relaxed;rahat;-;-;-
relaxing;rahatlatıcı;-;-;-
release;yayınlamak, serbest bırakmak;release;released;released
relevant;ilgili, alakalı;-;-;-
reliable;güvenilir;-;-;-
relief;rahatlama;-;-;-
religion;din;-;-;-
religious;dini;-;-;-
rely;güvenmek;rely;relied;relied
remain;kalmak;remain;remained;remained
remark;yorum, dile getirmek;remark;remarked;remarked
remember;hatırlamak;remember;remembered;remembered
remind;hatırlatmak;remind;reminded;reminded
remote;uzak;-;-;-
remove;kaldırmak, çıkarmak;remove;removed;removed
rent;kira, kiralamak;rent;rented;rented
repair;onarmak;repair;repaired;repaired
repeat;tekrarlamak;repeat;repeated;repeated
repeated;tekrarlanan;-;-;-
replace;değiştirmek, yerine koymak;replace;replaced;replaced
reply;yanıtlamak, yanıt;reply;replied;replied
report;rapor, rapor etmek;report;reported;reported
reporter;muhabir;-;-;-
represent;temsil etmek;represent;represented;represented
representative;temsilci;-;-;-
reputation;itibar;-;-;-
request;talep, talep etmek;request;requested;requested
require;gerektirmek;require;required;required
requirement;gereklilik;-;-;-
rescue;kurtarmak;rescue;rescued;rescued
research;araştırma, araştırmak;research;researched;researched
researcher;araştırmacı;-;-;-
reservation;rezervasyon;-;-;-
reserve;ayırmak, rezerv;reserve;reserved;reserved
resident;sakin;-;-;-
resist;direnmek;resist;resisted;resisted
resolve;çözmek;resolve;resolved;resolved
resort;tatil beldesi, başvurmak;resort;resorted;resorted
resource;kaynak;-;-;-
respect;saygı, saygı duymak;respect;respected;respected
respond;yanıt vermek;respond;responded;responded
response;yanıt;-;-;-
responsibility;sorumluluk;-;-;-
responsible;sorumlu;-;-;-
rest (remaining);geri kalan;-;-;-
rest (sleep/relax);dinlenmek;rest;rested;rested
restaurant;restoran;-;-;-
result;sonuç, sonuçlanmak;result;resulted;resulted
retain;elinde tutmak;retain;retained;retained
retire;emekli olmak;retire;retired;retired
retired;emekli;-;-;-
return;geri dönmek;return;returned;returned
reveal;ortaya çıkarmak;reveal;revealed;revealed
review;inceleme, incelemek;review;reviewed;reviewed
revise;gözden geçirmek;revise;revised;revised
revolution;devrim;-;-;-
reward;ödül, ödüllendirmek;reward;rewarded;rewarded
rhythm;ritim;-;-;-
rice;pirinç;-;-;-
rich;zengin;-;-;-
rid;kurtulmak;rid;rid;rid
ride;binmek (araç/hayvan);ride;rode;ridden
right;doğru, sağ;-;-;-
ring1;yüzük;-;-;-
ring2;çalmak (zil), aramak;ring;rang;rung
rise;yükselmek;rise;rose;risen
risk;risk, riske atmak;risk;risked;risked
river;nehir;-;-;-
road;yol;-;-;-
robot;robot;-;-;-
rock (stone);kaya;-;-;-
rock (music);rock müzik;-;-;-
role;rol;-;-;-
roll;yuvarlanmak, rulo;roll;rolled;rolled
romantic;romantik;-;-;-
roof;çatı;-;-;-
room;oda;-;-;-
root;kök;-;-;-
rope;halat;-;-;-
rough;kaba, pürüzlü;-;-;-
round;yuvarlak;-;-;-
route;güzergah, rota;-;-;-
routine;rutin;-;-;-
row1;sıra;-;-;-
royal;kraliyet ile ilgili;-;-;-
rub;ovmak, sürtmek;rub;rubbed;rubbed
rubber;lastik, kauçuk;-;-;-
rubbish;çöp;-;-;-
rude;kaba (davranış);-;-;-
rugby;ragbi;-;-;-
rule;kural, yönetmek;rule;ruled;ruled
run;koşmak;run;ran;run
runner;koşucu;-;-;-
running;koşu;-;-;-
rural;kırsal;-;-;-
rush;acele etmek, koşuşturma;rush;rushed;rushed
sad;üzgün;-;-;-
sadly;üzücü bir şekilde;-;-;-
safe;güvenli;-;-;-
safety;güvenlik;-;-;-
sail;yelken açmak;sail;sailed;sailed
sailing;yelkencilik;-;-;-
sailor;denizci;-;-;-
salad;salata;-;-;-
salary;maaş;-;-;-
sale;satış;-;-;-
salt;tuz;-;-;-
same;aynı;-;-;-
sample;örnek, örneklemek;sample;sampled;sampled
sand;kum;-;-;-
sandwich;sandviç;-;-;-
satellite;uydu;-;-;-
satisfied;memnun;-;-;-
satisfy;tatmin etmek;satisfy;satisfied;satisfied
Saturday;Cumartesi;-;-;-
sauce;sos;-;-;-
save;kurtarmak, biriktirmek;save;saved;saved
saving;tasarruf;-;-;-
say;söylemek;say;said;said
scale;ölçek, terazi;scale;scaled;scaled
scan;taramak;scan;scanned;scanned
scared;korkmuş;-;-;-
scary;korkutucu;-;-;-
scene;sahne;-;-;-
schedule;program, planlamak;schedule;scheduled;scheduled
scheme;plan, düzen;-;-;-
school;okul;-;-;-
science;bilim;-;-;-
scientific;bilimsel;-;-;-
scientist;bilim insanı;-;-;-
score;skor, gol atmak;score;scored;scored
scream;çığlık atmak;scream;screamed;screamed
screen;ekran;screen;screened;screened
script;senaryo;-;-;-
sculpture;heykel;-;-;-
sea;deniz;-;-;-
search;aramak;search;searched;searched
season;mevsim, sezon;-;-;-
seat;koltuk, oturtmak;seat;seated;seated
second1 (order);ikinci;-;-;-
second1 (time);saniye;-;-;-
secondary;ikincil, ortaokul;-;-;-
secondly;ikinci olarak;-;-;-
secret;sır, gizli;-;-;-
secretary;sekreter;-;-;-
section;bölüm, kısım;-;-;-
sector;sektör;-;-;-
secure;güvenli, güvence altına almak;secure;secured;secured
security;güvenlik;-;-;-
see;görmek;see;saw;seen
seed;tohum;-;-;-
seek;aramak, çabalamak;seek;sought;sought
seem;gibi görünmek;seem;seemed;seemed
select;seçmek;select;selected;selected
selection;seçki, seçim;-;-;-
self;kendilik, benlik;-;-;-
sell;satmak;sell;sold;sold
send;göndermek;send;sent;sent
senior;kıdemli;-;-;-
sense;duyu, anlam;sense;sensed;sensed
sensible;mantıklı;-;-;-
sensitive;hassas;-;-;-
sentence;cümle, hüküm giydirmek;sentence;sentenced;sentenced
separate;ayrı, ayırmak;separate;separated;separated
September;Eylül;-;-;-
sequence;dizi, sıralama;-;-;-
series;seri;-;-;-
serious;ciddi;-;-;-
seriously;ciddi olarak;-;-;-
servant;hizmetçi;-;-;-
serve;hizmet etmek;serve;served;served
service;hizmet;-;-;-
session;oturum;-;-;-
set (put);koymak, ayarlamak;set;set;set
set (group);takım, set;-;-;-
setting;ortam, ayar;-;-;-
settle;yerleşmek, çözmek;settle;settled;settled
seven;yedi;-;-;-
seventeen;on yedi;-;-;-
seventy;yetmiş;-;-;-
several;birkaç;-;-;-
severe;şiddetli;-;-;-
sex;cinsiyet;-;-;-
sexual;cinsel;-;-;-
shade;gölge;-;-;-
shadow;gölge (nesne);-;-;-
shake;sallamak;shake;shook;shaken
shallow;sığ;-;-;-
shame;utanç;-;-;-
shape;şekil, şekillendirmek;shape;shaped;shaped
share;paylaşmak, hisse;share;shared;shared
sharp;keskin;-;-;-
she;o (kadın);-;-;-
sheep;koyun;-;-;-
sheet;çarşaf, kağıt yaprağı;-;-;-
shelf;raf;-;-;-
shell;kabuk;-;-;-
shelter;barınak, sığınmak;shelter;sheltered;sheltered
shift;vardiya, değiştirmek;shift;shifted;shifted
shine;parlamak;shine;shone;shone
shiny;parlak;-;-;-
ship;gemi;ship;shipped;shipped
shirt;gömlek;-;-;-
shock;şok, şok etmek;shock;shocked;shocked
shocked;şok olmuş;-;-;-
shoe;ayakkabı;-;-;-
shoot;ateş etmek, çekim yapmak;shoot;shot;shot
shooting;ateş etme, çekim;-;-;-
shop;dükkan, alışveriş yapmak;shop;shopped;shopped
shopping;alışveriş;-;-;-
short;kısa;-;-;-
shot;atış, çekim;-;-;-
should;-meli;-;-;-
shoulder;omuz;-;-;-
shout;bağırmak;shout;shouted;shouted
show;göstermek;show;showed;shown
shower;duş;-;-;-
shut;kapatmak;shut;shut;shut
shy;utangaç;-;-;-
sick;hasta;-;-;-
side;taraf, yan;-;-;-
sight;görüş, manzara;-;-;-
sign;işaret, imzalamak;sign;signed;signed
signal;sinyal, işaret vermek;signal;signalled;signalled
significant;önemli;-;-;-
significantly;önemli ölçüde;-;-;-
silence;sessizlik;-;-;-
silent;sessiz;-;-;-
silk;ipek;-;-;-
silly;aptalca;-;-;-
silver;gümüş;-;-;-
similar;benzer;-;-;-
similarity;benzerlik;-;-;-
similarly;benzer şekilde;-;-;-
simple;basit;-;-;-
simply;basitçe;-;-;-
since;-den beri;-;-;-
sincere;samimi;-;-;-
sing;şarkı söylemek;sing;sang;sung
singer;şarkıcı;-;-;-
singing;şarkı söyleme;-;-;-
single;tek, bekar;-;-;-
sink;batmak, lavabo;sink;sank;sunk
sir;efendim, bay;-;-;-
sister;kız kardeş;-;-;-
sit;oturmak;sit;sat;sat
site;alan, site;-;-;-
situation;durum;-;-;-
six;altı;-;-;-
sixteen;on altı;-;-;-
sixty;altmış;-;-;-
size;boyut;-;-;-
ski;kayak yapmak;ski;skied;skied
skiing;kayak (spor);-;-;-
skill;beceri;-;-;-
skin;deri, cilt;-;-;-
skirt;etek;-;-;-
sky;gökyüzü;-;-;-
slave;köle;-;-;-
sleep;uyumak;sleep;slept;slept
slice;dilim, dilimlemek;slice;sliced;sliced
slide;kaymak, kaydırak;slide;slid;slid
slight;hafif, önemsiz;-;-;-
slightly;hafifçe;-;-;-
slip;kaymak (ayak);slip;slipped;slipped
slope;eğim, yamaç;slope;sloped;sloped
slow;yavaş, yavaşlatmak;slow;slowed;slowed
slowly;yavaşça;-;-;-
small;küçük;-;-;-
smart;akıllı, şık;-;-;-
smartphone;akıllı telefon;-;-;-
smell;koku, koklamak;smell;smelled/smelt;smelled/smelt
smile;gülümsemek;smile;smiled;smiled
smoke;duman, sigara içmek;smoke;smoked;smoked
smoking;sigara içme;-;-;-
smooth;pürüzsüz;-;-;-
snake;yılan;-;-;-
snow;kar, kar yağmak;snow;snowed;snowed
so;bu yüzden, çok;-;-;-
soap;sabun;-;-;-
soccer;futbol;-;-;-
social;sosyal;-;-;-
society;toplum;-;-;-
sock;çorap;-;-;-
soft;yumuşak;-;-;-
software;yazılım;-;-;-
soil;toprak;-;-;-
solar;güneş ile ilgili;-;-;-
soldier;asker;-;-;-
solid;katı, sağlam;-;-;-
solution;çözüm;-;-;-
solve;çözmek;solve;solved;solved
some;bazı;-;-;-
somebody;birisi;-;-;-
someone;birisi;-;-;-
something;bir şey;-;-;-
sometimes;bazen;-;-;-
somewhat;biraz;-;-;-
somewhere;bir yerde;-;-;-
son;erkek evlat;-;-;-
song;şarkı;-;-;-
soon;yakında;-;-;-
sorry;üzgün, özür dilerim;-;-;-
sort;tür, sınıflandırmak;sort;sorted;sorted
soul;ruh;-;-;-
sound;ses, kulağa gelmek;sound;sounded;sounded
soup;çorba;-;-;-
source;kaynak;-;-;-
south;güney;-;-;-
southern;güney (sıfat);-;-;-
space;uzay, boşluk;-;-;-
